DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01MAY1992,4655394,101,0.5,-0.866025404,-0.866025404,0.5,1,4.408109E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1992,4876377,102,5.634613E-15,-1,-1.12692E-14,1,9.798412E-15,-1,-2.25385E-14,1,6.856784E-15,-1,1
01JUL1992,5761881,103,-0.5,-0.866025404,0.8660254038,0.5,-1,-1.51887E-14,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1992,9915741,104,-0.866025404,-0.5,0.8660254038,-0.5,7.842691E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1992,6273083,105,-1,-3.91949E-15,7.838977E-15,-1,1,-2.45239E-15,-1.5678E-14,1,-1,2.303512E-14,-1
01OCT1992,8019762,106,-0.866025404,0.5,-0.866025404,-0.5,2.937914E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1992,5981632,107,-0.5,0.8660254038,-0.866025404,0.5,-1,-8.32822E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1992,7081181,108,-9.30979E-15,1,-1.86196E-14,1,-1.37185E-14,1,-3.72392E-14,1,-3.91639E-15,1,1
01JAN1993,13345376,109,0.5,0.8660254038,0.8660254038,0.5,1,1.910882E-14,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1993,6211981,110,0.8660254038,0.5,0.8660254038,-0.5,-3.92258E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1993,8103349,111,1,7.594667E-15,1.518933E-14,-1,-1,-1.46772E-15,-3.03787E-14,1,1,-2.59755E-14,-1
01APR1993,7161457,112,0.8660254038,-0.5,-0.866025404,-0.5,-6.85802E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1993,4604493,113,0.5,-0.866025404,-0.866025404,0.5,1,1.224832E-14,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1993,5701641,114,5.879543E-15,-1,-1.17591E-14,1,1.763863E-14,-1,-2.35182E-14,1,9.760036E-16,-1,1
01JUL1993,5859560,115,-0.5,-0.866025404,0.8660254038,0.5,-1,5.392779E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1993,6883263,116,-0.866025404,-0.5,0.8660254038,-0.5,2.475923E-18,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1993,7238615,117,-1,-4.16442E-15,8.328836E-15,-1,1,5.387827E-15,-1.66577E-14,1,-1,2.89159E-14,-1
01OCT1993,9463285,118,-0.866025404,0.5,-0.866025404,-0.5,1.077813E-14,-1,0.8660254038,-0.5,0.8660254038,0.5,1
