DATE,ESPECTADORES,t,t2,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,sin6,cos6
01SEP1986,5321766,57,3249,-1,-2.93977E-15,5.879543E-15,-1,1,8.819314E-15,-1.17591E-14,1,-1,-4.88002E-16,1.763863E-14,-1
01OCT1986,4555609,58,3364,-0.866025404,0.5,-0.866025404,-0.5,-1.23796E-18,-1,0.8660254038,-0.5,0.8660254038,0.5,2.475923E-18,1
01NOV1986,4146407,59,3481,-0.5,0.8660254038,-0.866025404,0.5,-1,-5.38906E-15,-0.866025404,-0.5,-0.5,-0.866025404,1.077813E-14,-1
01DEC1986,4932106,60,3600,-4.77736E-15,1,-9.55472E-15,1,-1.07794E-14,1,-1.91094E-14,1,9.821934E-16,1,-2.15587E-14,1
01JAN1987,9913116,61,3721,0.5,0.8660254038,0.8660254038,0.5,1,1.958816E-15,0.8660254038,-0.5,0.5,-0.866025404,3.917632E-15,-1
01FEB1987,5345289,62,3844,0.8660254038,0.5,0.8660254038,-0.5,7.349119E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,-1.46982E-14,1
01MAR1987,9602365,63,3969,1,6.61495E-15,1.32299E-14,-1,-1,1.471433E-15,-2.64598E-14,1,1,-2.45239E-15,-2.94287E-15,-1
01APR1987,5869840,64,4096,0.8660254038,-0.5,-0.866025404,-0.5,-3.91887E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,-7.83774E-15,1
01MAY1987,4279168,65,4225,0.5,-0.866025404,-0.866025404,0.5,1,9.309173E-15,-0.866025404,-0.5,0.5,0.8660254038,1.861835E-14,-1
01JUN1987,4775934,66,4356,4.899825E-15,-1,-9.79965E-15,1,4.886208E-16,-1,-1.95993E-14,1,-3.92258E-15,-1,-9.77242E-16,1
01JUL1987,6145364,67,4489,-0.5,-0.866025404,0.8660254038,0.5,-1,-5.87892E-15,0.8660254038,-0.5,-0.5,0.8660254038,1.175785E-14,-1
01AUG1987,10242058,68,4624,-0.866025404,-0.5,0.8660254038,-0.5,2.941628E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,5.883256E-15,1
01SEP1987,8503891,69,4761,-1,-3.1847E-15,6.369401E-15,-1,1,2.448675E-15,-1.27388E-14,1,-1,5.392779E-15,4.897349E-15,-1
01OCT1987,4272022,70,4900,-0.866025404,0.5,-0.866025404,-0.5,7.838977E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,-1.5678E-14,1
01NOV1987,6394995,71,5041,-0.5,0.8660254038,-0.866025404,0.5,-1,9.815744E-16,-0.866025404,-0.5,-0.5,-0.866025404,-1.96315E-15,-1
01DEC1987,2712844,72,5184,-1.46958E-15,1,-2.93915E-15,1,-4.40873E-15,1,-5.8783E-15,1,6.862974E-15,1,-8.81746E-15,1
01JAN1988,10108380,73,5329,0.5,0.8660254038,0.8660254038,0.5,1,9.799031E-15,0.8660254038,-0.5,0.5,-0.866025404,1.959806E-14,-1
01FEB1988,7273620,74,5476,0.8660254038,0.5,0.8660254038,-0.5,9.784795E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,-1.95696E-15,1
01MAR1988,7628260,75,5625,1,6.859879E-15,1.371976E-14,-1,-1,-6.36878E-15,-2.74395E-14,1,1,-8.33317E-15,1.273756E-14,-1
01APR1988,6679694,76,5776,0.8660254038,-0.5,-0.866025404,-0.5,-1.17591E-14,1,0.8660254038,-0.5,-0.866025404,-0.5,-2.35182E-14,1
01MAY1988,3924304,77,5929,0.5,-0.866025404,-0.866025404,0.5,1,2.938533E-15,-0.866025404,-0.5,0.5,0.8660254038,5.877067E-15,-1
01JUN1988,3387166,78,6084,5.144755E-15,-1,-1.02895E-14,1,8.328836E-15,-1,-2.0579E-14,1,-9.80336E-15,-1,-1.66577E-14,1
01JUL1988,6099520,79,6241,-0.5,-0.866025404,0.8660254038,0.5,-1,4.917157E-16,0.8660254038,-0.5,-0.5,0.8660254038,-9.83431E-16,-1
01AUG1988,7572069,80,6400,-0.866025404,-0.5,0.8660254038,-0.5,-4.89859E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,-9.79717E-15,1
01SEP1988,6921302,81,6561,-1,-3.42963E-15,6.85926E-15,-1,1,1.028889E-14,-1.37185E-14,1,-1,1.127356E-14,2.057778E-14,-1
