tubersem,date
176,"Friday, April 22, 1988"
186,"Friday, April 29, 1988"
210,"Friday, May 6, 1988"
176,"Friday, May 13, 1988"
150,"Friday, May 20, 1988"
235,"Friday, May 27, 1988"
162,"Friday, June 3, 1988"
156,"Friday, June 10, 1988"
196,"Friday, June 17, 1988"
151,"Friday, June 24, 1988"
165,"Friday, July 1, 1988"
163,"Friday, July 8, 1988"
126,"Friday, July 15, 1988"
141,"Friday, July 22, 1988"
125,"Friday, July 29, 1988"
119,"Friday, August 5, 1988"
155,"Friday, August 12, 1988"
119,"Friday, August 19, 1988"
149,"Friday, August 26, 1988"
121,"Friday, September 2, 1988"
148,"Friday, September 9, 1988"
150,"Friday, September 16, 1988"
136,"Friday, September 23, 1988"
109,"Friday, September 30, 1988"
134,"Friday, October 7, 1988"
129,"Friday, October 14, 1988"
151,"Friday, October 21, 1988"
150,"Friday, October 28, 1988"
164,"Friday, November 4, 1988"
120,"Friday, November 11, 1988"
132,"Friday, November 18, 1988"
96,"Friday, November 25, 1988"
155,"Friday, December 2, 1988"
106,"Friday, December 9, 1988"
102,"Friday, December 16, 1988"
84,"Friday, December 23, 1988"
160,"Friday, December 30, 1988"
159,"Friday, January 6, 1989"
195,"Friday, January 13, 1989"
169,"Friday, January 20, 1989"
158,"Friday, January 27, 1989"
202,"Friday, February 3, 1989"
204,"Friday, February 10, 1989"
190,"Friday, February 17, 1989"
165,"Friday, February 24, 1989"
164,"Friday, March 3, 1989"
126,"Friday, March 10, 1989"
174,"Friday, March 17, 1989"
200,"Friday, March 24, 1989"
211,"Friday, March 31, 1989"
177,"Friday, April 7, 1989"
182,"Friday, April 14, 1989"
159,"Friday, April 21, 1989"
198,"Friday, April 28, 1989"
190,"Friday, May 5, 1989"
209,"Friday, May 12, 1989"
149,"Friday, May 19, 1989"
193,"Friday, May 26, 1989"
152,"Friday, June 2, 1989"
196,"Friday, June 9, 1989"
139,"Friday, June 16, 1989"
156,"Friday, June 23, 1989"
134,"Friday, June 30, 1989"
167,"Friday, July 7, 1989"
192,"Friday, July 14, 1989"
119,"Friday, July 21, 1989"
131,"Friday, July 28, 1989"
128,"Friday, August 4, 1989"
139,"Friday, August 11, 1989"
131,"Friday, August 18, 1989"
111,"Friday, August 25, 1989"
131,"Friday, September 1, 1989"
110,"Friday, September 8, 1989"
138,"Friday, September 15, 1989"
149,"Friday, September 22, 1989"
126,"Friday, September 29, 1989"
136,"Friday, October 6, 1989"
162,"Friday, October 13, 1989"
124,"Friday, October 20, 1989"
168,"Friday, October 27, 1989"
155,"Friday, November 3, 1989"
151,"Friday, November 10, 1989"
126,"Friday, November 17, 1989"
81,"Friday, November 24, 1989"
150,"Friday, December 1, 1989"
147,"Friday, December 8, 1989"
90,"Friday, December 15, 1989"
129,"Friday, December 22, 1989"
109,"Friday, December 29, 1989"
149,"Friday, January 5, 1990"
147,"Friday, January 12, 1990"
180,"Friday, January 19, 1990"
165,"Friday, January 26, 1990"
200,"Friday, February 2, 1990"
164,"Friday, February 9, 1990"
183,"Friday, February 16, 1990"
174,"Friday, February 23, 1990"
190,"Friday, March 2, 1990"
151,"Friday, March 9, 1990"
169,"Friday, March 16, 1990"
163,"Friday, March 23, 1990"
136,"Friday, March 30, 1990"
153,"Friday, April 6, 1990"
164,"Friday, April 13, 1990"
135,"Friday, April 20, 1990"
185,"Friday, April 27, 1990"
166,"Friday, May 4, 1990"
149,"Friday, May 11, 1990"
156,"Friday, May 18, 1990"
167,"Friday, May 25, 1990"
174,"Friday, June 1, 1990"
167,"Friday, June 8, 1990"
171,"Friday, June 15, 1990"
187,"Friday, June 22, 1990"
151,"Friday, June 29, 1990"
150,"Friday, July 6, 1990"
138,"Friday, July 13, 1990"
136,"Friday, July 20, 1990"
108,"Friday, July 27, 1990"
112,"Friday, August 3, 1990"
134,"Friday, August 10, 1990"
98,"Friday, August 17, 1990"
112,"Friday, August 24, 1990"
104,"Friday, August 31, 1990"
148,"Friday, September 7, 1990"
170,"Friday, September 14, 1990"
129,"Friday, September 21, 1990"
109,"Friday, September 28, 1990"
138,"Friday, October 5, 1990"
140,"Friday, October 12, 1990"
116,"Friday, October 19, 1990"
148,"Friday, October 26, 1990"
138,"Friday, November 2, 1990"
117,"Friday, November 9, 1990"
184,"Friday, November 16, 1990"
118,"Friday, November 23, 1990"
133,"Friday, November 30, 1990"
113,"Friday, December 7, 1990"
84,"Friday, December 14, 1990"
77,"Friday, December 21, 1990"
121,"Friday, December 28, 1990"
135,"Friday, January 4, 1991"
120,"Friday, January 11, 1991"
138,"Friday, January 18, 1991"
122,"Friday, January 25, 1991"
128,"Friday, February 1, 1991"
171,"Friday, February 8, 1991"
156,"Friday, February 15, 1991"
155,"Friday, February 22, 1991"
185,"Friday, March 1, 1991"
124,"Friday, March 8, 1991"
76,"Friday, March 15, 1991"
150,"Friday, March 22, 1991"
159,"Friday, March 29, 1991"
166,"Friday, April 5, 1991"
137,"Friday, April 12, 1991"
127,"Friday, April 19, 1991"
160,"Friday, April 26, 1991"
153,"Friday, May 3, 1991"
139,"Friday, May 10, 1991"
156,"Friday, May 17, 1991"
187,"Friday, May 24, 1991"
185,"Friday, May 31, 1991"
165,"Friday, June 7, 1991"
165,"Friday, June 14, 1991"
152,"Friday, June 21, 1991"
143,"Friday, June 28, 1991"
158,"Friday, July 5, 1991"
149,"Friday, July 12, 1991"
123,"Friday, July 19, 1991"
104,"Friday, July 26, 1991"
78,"Friday, August 2, 1991"
149,"Friday, August 9, 1991"
108,"Friday, August 16, 1991"
148,"Friday, August 23, 1991"
128,"Friday, August 30, 1991"
132,"Friday, September 6, 1991"
128,"Friday, September 13, 1991"
137,"Friday, September 20, 1991"
135,"Friday, September 27, 1991"
114,"Friday, October 4, 1991"
129,"Friday, October 11, 1991"
109,"Friday, October 18, 1991"
102,"Friday, October 25, 1991"
111,"Friday, November 1, 1991"
122,"Friday, November 8, 1991"
108,"Friday, November 15, 1991"
116,"Friday, November 22, 1991"
133,"Friday, November 29, 1991"
149,"Friday, December 6, 1991"
97,"Friday, December 13, 1991"
